Row Labels,Sum of DELAY_DUE_CARRIER,Sum of DELAY_DUE_WEATHER,Sum of DELAY_DUE_NAS,Sum of DELAY_DUE_SECURITY,Sum of DELAY_DUE_LATE_AIRCRAFT
SUN,2565,272,290,0,1699
JAN,4578,1558,2137,0,4149
DEC,2653,0,547,0,239
SAT,15389,2446,9006,93,27259
ABE,4383,872,1836,0,1704
ABI,1183,919,758,20,1673
ABQ,13520,1960,5645,28,12314
ABR,451,214,14,18,256
ABY,462,79,118,0,199
ACK,1722,144,812,13,2524
ACT,1403,1823,289,0,791
ACV,1843,205,505,0,1555
ACY,1068,184,2516,0,1716
ADK,0,15,14,183,110
ADQ,338,13,126,7,509
AEX,1352,136,1063,0,1566
AGS,3197,137,975,0,4004
AKN,43,0,130,253,331
ALB,5297,707,5316,0,7428
ALO,29,22,268,0,694
ALS,41,0,0,0,0
ALW,179,0,12,0,98
AMA,4276,402,1452,24,4528
ANC,7762,1004,4257,72,6894
APN,564,155,0,0,73
ART,84,0,0,0,172
ASE,10077,3690,3668,0,7932
ATL,235916,30174,102963,1452,139460
ATW,2995,1770,1532,0,2387
ATY,53,0,390,0,113
AUS,44075,4484,24993,650,64110
AVL,7016,2079,4506,0,7974
AVP,2574,623,1191,0,818
AZA,7858,1200,1890,103,3959
AZO,700,274,321,0,899
BDL,10688,1170,10596,109,19328
BET,84,0,114,225,1029
BFF,1535,0,18,0,271
BFL,1943,199,866,0,1717
BFM,0,0,48,0,38
BGM,1347,525,61,0,764
BGR,3512,1661,2176,0,4069
BHM,10530,1456,4887,92,14821
BIH,103,0,0,0,0
BIL,2251,671,1754,16,2219
BIS,5633,844,1319,95,2974
BJI,991,1060,33,0,55
BKG,0,0,268,0,32
BLI,1135,25,322,0,1344
BLV,1125,396,353,0,2134
BMI,2250,964,1028,0,1891
BNA,41908,4766,30971,356,65917
BOI,14592,1397,6697,0,10000
BOS,97350,11526,66866,376,88507
BPT,332,225,407,0,749
BQK,511,0,108,0,657
BQN,1211,62,1411,18,6386
BRD,1050,145,50,0,44
BRO,368,1282,1755,0,1943
BRW,0,13,66,150,119
BTM,1209,0,67,0,34
BTR,5239,1773,2144,60,2882
BTV,3893,2599,5306,6,5644
BUF,13036,1457,7526,0,16410
BUR,12578,1139,7667,14,20443
BWI,69702,7982,32441,365,59919
BZN,6495,551,4440,0,6480
CAE,1916,374,1363,0,3289
CAK,4641,396,2942,0,2512
CDB,113,0,51,0,49
CDC,847,147,74,0,79
CDV,122,0,219,74,277
CGI,492,0,84,0,517
CHA,5040,1180,1725,2,3675
CHO,2736,454,2280,11,2860
CHS,11506,668,9747,64,19657
CID,8774,1150,3158,0,6197
CIU,1504,1362,16,0,410
CKB,3056,165,30,0,687
CLE,24270,2125,19319,39,28648
CLL,905,431,448,0,632
CLT,116161,27465,68262,1287,152467
CMH,23267,2802,18418,294,19542
CMI,1078,485,712,0,772
CMX,1290,175,194,0,439
CNY,227,93,210,0,966
COD,811,207,39,0,1139
COS,11818,3476,3566,0,7267
COU,2749,236,906,0,829
CPR,1402,0,138,0,938
CRP,1451,749,1766,0,2458
CRW,2003,1087,904,0,3447
CSG,643,132,143,0,659
CVG,24144,5830,20324,49,25809
CWA,697,658,679,0,1502
CYS,1125,12,287,0,0
DAB,3367,382,769,29,2546
DAL,42016,3099,15221,749,55082
DAY,4406,1277,4262,0,6867
DBQ,208,512,215,0,293
DCA,70291,8853,50803,199,101962
DDC,563,512,0,0,498
DEN,233945,26946,83255,565,215185
DFW,224403,48231,103348,786,266073
DHN,648,115,323,0,788
DIK,222,103,131,0,0
DLG,74,12,142,129,93
DLH,1675,519,392,0,843
DRO,3836,497,1259,377,3081
DRT,627,455,548,0,343
DSM,10978,653,5915,23,8925
DTW,102505,19124,47180,335,49335
DVL,701,38,363,0,137
EAR,291,928,157,28,494
EAT,409,284,240,0,17
EAU,460,57,112,0,316
ECP,4073,470,2857,5,6486
EGE,3293,580,728,11,5567
EKO,329,136,22,13,34
ELM,403,264,287,0,597
ELP,10851,1400,4171,18,11216
ERI,585,293,78,0,361
ESC,1360,311,91,0,881
EUG,3075,519,1497,13,5166
EVV,977,309,1149,0,1811
EWN,171,58,138,0,1353
EWR,104334,17853,69885,516,130944
EYW,8822,1058,4038,40,8872
FAI,1001,359,1158,0,2398
FAR,7954,1533,2099,0,3245
FAT,10819,859,3050,0,6070
FAY,1714,342,874,0,1311
FCA,6186,1566,1459,0,3313
FLG,1568,335,65,280,1752
FLL,72559,12555,52849,3605,79292
FLO,,,,,
FNT,2730,402,1128,6,2293
FOD,1653,0,190,0,0
FSD,6300,1626,3182,10,5512
FSM,1082,32,223,0,1444
FWA,8220,1178,2235,28,3463
GCC,562,0,438,0,544
GCK,255,302,313,0,386
GEG,10325,2522,4951,101,8281
GFK,124,730,232,0,743
GGG,256,1105,265,5,576
GJT,2152,715,2878,10,2158
GNV,2525,804,572,90,3148
GPT,1063,804,1072,0,3398
GRB,3151,393,1649,0,2871
GRI,1130,658,258,6,547
GRK,816,493,767,0,1799
GRR,12281,3232,7022,31,9678
GSO,6609,2207,4230,0,7274
GSP,7923,767,5599,1,7790
GST,27,0,0,0,0
GTF,1583,1151,421,0,741
GTR,527,220,261,0,575
GUC,1068,16,147,0,913
GUM,256,0,99,0,0
HDN,4029,1411,1173,0,2050
HGR,160,0,52,0,220
HHH,1010,69,707,40,2789
HIB,1158,0,21,0,108
HLN,2407,390,109,0,96
HNL,26997,916,4736,241,23644
HOB,482,0,18,0,219
HOU,34943,3500,12492,455,33859
HPN,9166,1394,3810,43,10074
HRL,1368,787,979,0,2166
HSV,5613,677,2730,19,8116
HTS,312,128,159,0,1046
HVN,125,0,177,0,28
HYA,12,0,16,0,367
HYS,2622,0,345,0,1795
IAD,41069,12724,23079,67,38412
IAG,341,30,787,0,730
IAH,110848,27556,54638,187,95209
ICT,6199,1864,2559,55,7978
IDA,4146,212,3752,0,1909
ILG,113,0,20,0,13
ILM,2234,556,2033,0,4248
IMT,296,324,0,0,475
IND,20210,3221,19373,36,23829
INL,968,0,0,0,0
IPT,,,,,
ISN,46,5,21,0,21
ISP,2627,117,3070,0,3538
ITH,39,686,67,0,489
ITO,2443,125,282,119,2440
JAC,9958,1728,2852,0,8011
JAX,17700,2651,11149,89,23254
JFK,121209,11273,66408,283,69859
JLN,1156,174,191,0,412
JMS,437,260,76,0,372
JNU,798,298,953,14,1536
JST,1415,15,0,0,168
KOA,5122,682,2164,7,8658
KTN,583,8,549,47,2836
LAN,1038,502,749,0,2059
LAR,753,245,167,0,548
LAS,121655,4412,61086,735,128501
LAW,1811,423,302,29,770
LAX,122093,9653,54854,514,110939
LBB,2451,184,1815,0,5319
LBE,75,97,530,0,319
LBF,1580,48,408,0,187
LBL,341,59,196,0,149
LCH,3590,147,436,0,588
LCK,892,406,361,102,2829
LEX,5121,1629,2552,0,5308
LFT,2302,709,1117,20,3256
LGA,90543,16216,76527,206,136005
LGB,8555,681,2579,0,10372
LIH,5542,1296,1755,85,9679
LIT,11427,1163,4547,35,10557
LNK,1696,443,255,0,631
LRD,2668,233,701,0,1751
LSE,1355,319,281,0,534
LWB,1203,244,169,0,765
LWS,422,68,0,0,243
LYH,11,0,139,0,50
MAF,6112,105,3642,19,5553
MBS,1687,39,282,0,821
MCI,17335,4236,14821,115,28150
MCO,110462,26520,78654,1340,128389
MCW,54,0,0,0,279
MDT,2081,1539,1845,26,2996
MDW,60640,6854,20778,166,54078
MEI,750,330,170,0,718
MEM,18548,3473,7576,194,15584
MFE,2828,349,2040,19,2968
MFR,4356,1157,3215,0,5591
MGM,2790,194,650,0,3666
MHK,1910,38,801,0,537
MHT,3065,108,2922,0,4463
MIA,85776,15521,50389,727,77709
MKE,16703,2281,11166,14,15662
MKG,1280,0,212,0,298
MLB,802,205,307,0,1346
MLI,2516,609,1038,139,2323
MLU,1392,412,723,0,1749
MMH,60,0,27,0,252
MOB,1879,1369,957,0,3528
MOT,4048,1114,495,0,873
MQT,1209,541,220,0,783
MRY,3265,712,472,0,2439
MSN,12617,1708,4107,25,6681
MSO,4410,1024,1364,62,3108
MSP,91231,25092,46163,134,41563
MSY,21548,3416,20203,148,40834
MTJ,3106,77,1290,45,1364
MVY,1604,0,753,0,1613
MYR,6643,1991,6756,29,13795
OAJ,891,278,348,0,1424
OAK,26812,640,6441,483,25217
OGD,,,,,
OGG,12279,387,3701,132,17056
OGS,1763,0,246,0,493
OKC,19113,3955,6339,0,16512
OMA,15275,3648,7445,0,14282
OME,24,0,86,27,394
ONT,11555,1789,6221,0,15868
ORD,191448,40726,115224,447,229672
ORF,13756,2501,11551,37,16290
ORH,1470,223,512,0,1274
OTH,219,133,203,7,77
OTZ,0,0,26,0,303
OWB,12,0,20,0,276
PAE,791,46,958,0,402
PAH,505,0,367,0,894
PBG,1074,385,592,0,370
PBI,16576,1624,15321,6,26088
PDX,28980,2206,14929,134,30386
PGD,5520,1386,2818,9,7896
PGV,86,0,0,0,52
PHF,677,44,207,0,1247
PHL,59100,7472,44504,603,76437
PHX,104282,4569,36165,516,122144
PIA,2849,1906,1299,5,5743
PIB,2462,232,99,0,614
PIE,3734,3011,3705,0,6626
PIH,620,362,0,0,0
PIR,1320,115,17,2,0
PIT,21802,4716,19648,30,23662
PLN,1541,1014,7,0,282
PNS,5690,1917,3729,35,11480
PPG,108,0,0,0,68
PRC,1229,45,440,0,301
PSC,4960,1075,1111,10,2193
PSE,296,0,353,0,963
PSG,103,0,155,0,1578
PSM,885,324,191,0,1925
PSP,9039,1651,4307,18,6938
PUB,378,0,160,0,214
PUW,6,80,20,0,107
PVD,6728,304,6963,5,13764
PVU,891,40,624,0,936
PWM,6100,1044,5479,40,6918
RAP,4093,1728,1232,3,3715
RDD,1386,60,942,0,758
RDM,5761,639,1702,0,3086
RDU,31778,4217,27941,185,41358
RFD,1128,156,418,17,522
RHI,1024,43,18,0,218
RIC,13313,2141,10834,96,13177
RIW,80,0,6,0,1099
RKS,1243,0,15,0,303
RNO,12728,2415,5336,19,15042
ROA,1996,359,1023,0,2257
ROC,8550,598,7127,0,8387
ROW,2047,333,443,0,1251
RST,2076,581,896,0,1697
RSW,20662,2675,20563,60,33783
SAF,1409,935,424,0,1391
SAN,39628,4954,26741,398,55709
SAV,9608,2735,7363,70,13393
SBA,3869,365,3263,0,7202
SBN,4665,417,1511,39,3471
SBP,8506,644,1691,58,3542
SCC,438,0,73,0,270
SCE,908,34,174,0,711
SCK,412,0,472,46,1549
SDF,16220,3239,9365,35,15783
SEA,89197,12980,48947,794,67511
SFB,12398,1581,4422,0,8947
SFO,80566,4251,38901,75,97434
SGF,5497,992,4386,55,6126
SGU,2187,645,316,0,2798
SHD,1641,36,20,0,797
SHR,218,0,155,0,0
SHV,3261,1191,1555,76,3122
SIT,577,69,373,0,1212
SJC,18986,2109,9827,134,29724
SJT,767,625,213,0,619
SJU,29757,277,11099,191,31444
SLC,82100,15826,26035,255,45483
SLN,875,0,138,0,1445
SMF,23793,1381,9293,342,27261
SMX,27,0,31,0,286
SNA,23219,1435,13110,58,29867
SPI,777,215,253,0,702
SPN,226,0,14,0,197
SPS,533,719,416,0,935
SRQ,9034,1247,8102,125,13812
STC,0,0,54,0,191
STL,31342,3661,18213,118,45671
STS,1086,457,356,1,3216
STT,2843,341,1623,44,6538
STX,233,4,587,28,831
SUX,618,192,429,0,866
SWF,2120,174,431,0,2148
SWO,736,115,392,11,317
SYR,8825,896,3932,0,8783
TBN,0,0,0,0,284
TLH,3793,621,776,0,5523
TOL,668,181,350,0,1080
TPA,38410,7311,31040,36,64071
TRI,2562,298,354,0,2780
TTN,2431,0,1692,0,4765
TUL,7403,1678,5504,13,11113
TUS,10632,1179,4615,0,8883
TVC,1974,2465,2496,15,3013
TWF,530,112,173,0,399
TXK,786,699,238,0,646
TYR,1322,121,318,0,1602
TYS,6192,2378,5420,29,8763
UIN,0,0,250,0,212
USA,1407,40,535,0,1392
VCT,324,0,87,0,495
VEL,1096,1156,622,0,744
VLD,770,291,223,0,1778
VPS,5944,1585,3352,281,10057
WRG,20,21,124,0,940
WYS,31,46,0,0,196
XNA,10183,3580,7482,18,8702
XWA,2130,1367,351,0,326
YAK,192,0,127,0,1020
YKM,440,0,13,0,24
YUM,1756,44,76,30,1262
Grand Total,4598456,735742,2467627,27558,4763800
